weights,guid,vuid,word,topic
3.85439389259,1,29,the,alt.atheism
2.51680001356,1,12,of,alt.atheism
2.48715636952,1,30,in,alt.atheism
2.37547280874,1,33,to,alt.atheism
2.07013914902,1,23,and,alt.atheism
1.98929044469,1,233,that,alt.atheism
1.75591333745,1,60,is,alt.atheism
1.45784805347,1,778,writes,alt.atheism
1.40454780143,1,42,it,alt.atheism
1.26615004928,1,474,you,alt.atheism
0.903256514035,1,722,not,alt.atheism
0.883122586905,1,144,be,alt.atheism
0.775212133614,1,775,edu,alt.atheism
0.756061005971,1,81,for,alt.atheism
0.746535053978,1,251,this,alt.atheism
0.671440901978,1,27,are,alt.atheism
0.652956299977,1,922,have,alt.atheism
0.508613233483,1,51,but,alt.atheism
0.490957420549,1,48,on,alt.atheism
0.464612780611,1,473,if,alt.atheism
1.8977776633,2,29,the,comp.graphics
1.53905711567,2,33,to,comp.graphics
1.1613506293,2,23,and,comp.graphics
1.12393009665,2,30,in,comp.graphics
1.10548516796,2,12,of,comp.graphics
0.929535958624,2,81,for,comp.graphics
0.774025659281,2,60,is,comp.graphics
0.596870350125,2,42,it,comp.graphics
0.182321556794,2,233,that,comp.graphics
0.10644688187,2,48,on,comp.graphics
0.0926906629168,2,922,have,comp.graphics
0.0308772385644,2,251,this,comp.graphics
-0.0720723480411,2,144,be,comp.graphics
-0.0789432023401,2,122,or,comp.graphics
-0.127100502294,2,474,you,comp.graphics
-0.210031138222,2,51,but,comp.graphics
-0.251750063226,2,72,can,comp.graphics
-0.279682029785,2,52,with,comp.graphics
-0.279682029785,2,473,if,comp.graphics
-0.293688096512,2,239,any,comp.graphics
2.16662945676,3,29,the,comp.os.ms-windows.misc
1.66915714714,3,33,to,comp.os.ms-windows.misc
1.17922463464,3,30,in,comp.os.ms-windows.misc
1.09397190911,3,42,it,comp.os.ms-windows.misc
1.08472317651,3,23,and,comp.os.ms-windows.misc
1.07551657387,3,60,is,comp.os.ms-windows.misc
0.775312580603,3,12,of,comp.os.ms-windows.misc
0.767255152714,3,81,for,comp.os.ms-windows.misc
0.5650952537,3,10268,windows,comp.os.ms-windows.misc
0.490435668063,3,233,that,comp.os.ms-windows.misc
0.417093146103,3,922,have,comp.os.ms-windows.misc
0.273468635202,3,52,with,comp.os.ms-windows.misc
0.167638880001,3,48,on,comp.os.ms-windows.misc
0.153611450912,3,251,this,comp.os.ms-windows.misc
0.0976384695639,3,474,you,comp.os.ms-windows.misc
0.0487901641694,3,775,edu,comp.os.ms-windows.misc
0.0,3,51,but,comp.os.ms-windows.misc
-0.0697146326154,3,473,if,comp.os.ms-windows.misc
-0.0836724757241,3,144,be,comp.os.ms-windows.misc
-0.139599089187,3,72,can,comp.os.ms-windows.misc
2.42221826794,4,29,the,comp.sys.ibm.pc.hardware
1.64865862559,4,33,to,comp.sys.ibm.pc.hardware
1.44901761959,4,23,and,comp.sys.ibm.pc.hardware
1.12826098259,4,12,of,comp.sys.ibm.pc.hardware
1.1008772953,4,42,it,comp.sys.ibm.pc.hardware
0.994881006467,4,60,is,comp.sys.ibm.pc.hardware
0.943787981331,4,30,in,comp.sys.ibm.pc.hardware
0.695694952639,4,81,for,comp.sys.ibm.pc.hardware
0.627632573449,4,233,that,comp.sys.ibm.pc.hardware
0.597837000756,4,52,with,comp.sys.ibm.pc.hardware
0.524431275822,4,922,have,comp.sys.ibm.pc.hardware
0.423892277286,4,48,on,comp.sys.ibm.pc.hardware
0.325422400435,4,251,this,comp.sys.ibm.pc.hardware
0.0509448016152,4,122,or,comp.sys.ibm.pc.hardware
-0.0169783365344,4,995,my,comp.sys.ibm.pc.hardware
-0.0373557865438,4,72,can,comp.sys.ibm.pc.hardware
-0.0713375384462,4,473,if,comp.sys.ibm.pc.hardware
-0.0713375384462,4,144,be,comp.sys.ibm.pc.hardware
